H_A_per_m,B_T
-3.278945663405465893e+00,9.332617667070818301e-01
-3.295580790858366527e+00,9.328979418027121273e-01
-3.312203829598729499e+00,9.325341076692241771e-01
-3.328814791195327416e+00,9.321702643413894984e-01
-3.345413687129621394e+00,9.318064118555806630e-01
-3.362000528883072548e+00,9.314425502478610452e-01
-3.378575327980797738e+00,9.310786795530259230e-01
-3.395138095860602334e+00,9.307147998074767337e-01
-3.411688844003947452e+00,9.303509110463467069e-01
-3.428227583848638460e+00,9.299870133054176646e-01
-3.444754326788824983e+00,9.296231066211247951e-01
-3.461269084305968136e+00,9.292591910276705169e-01
-3.477771867750561796e+00,9.288952665618330773e-01
-3.494262688516755588e+00,9.285313332591214053e-01
-3.510741557998699136e+00,9.281673911547350109e-01
-3.527208487546886317e+00,9.278034402845281026e-01
-3.543663488511811011e+00,9.274394806840480232e-01
-3.560106572200311348e+00,9.270755123894993677e-01
-3.576537749962881207e+00,9.267115354358135271e-01
-3.592957033062702976e+00,9.263475498595482582e-01
-3.609364432806614786e+00,9.259835556959876701e-01
-3.625759960501454771e+00,9.256195529801072297e-01
-3.642143627366749570e+00,9.252555417485138767e-01
-3.658515444665681571e+00,9.248915220365396817e-01
-3.674875423661433160e+00,9.245274938792095165e-01
-3.691223575529875234e+00,9.241634573131844999e-01
-3.707559911490534432e+00,9.237994123738492158e-01
-3.723884442762937397e+00,9.234353590962819380e-01
-3.740197180479299277e+00,9.230712975172028489e-01
-3.756498135859146714e+00,9.227072276710789334e-01
-3.772787320034694858e+00,9.223431495940199731e-01
-3.789064744094503112e+00,9.219790633228100996e-01
-3.805330419214442372e+00,9.216149688919761385e-01
-3.821584356483072042e+00,9.212508663376932638e-01
-3.837826567032607272e+00,9.208867556948556743e-01
-3.854057061907951720e+00,9.205226370000100244e-01
-3.870275852197664790e+00,9.201585102884212164e-01
-3.886482948946650140e+00,9.197943755960310552e-01
-3.902678363243467174e+00,9.194302329574961519e-01
-3.918862106045708060e+00,9.190660824101151150e-01
-3.935034188441932201e+00,9.187019239879384847e-01
-3.951194621389731765e+00,9.183377577276612413e-01
-3.967343415890354663e+00,9.179735836646941705e-01
-3.983480582901393063e+00,9.176094018351307335e-01
-3.999606133380439132e+00,9.172452122747629666e-01
-4.015720078328740783e+00,9.168810150180948249e-01
-4.031822428616578691e+00,9.165168101022885816e-01
-4.047913195201545022e+00,9.161525975622321072e-01
-4.063992388997576199e+00,9.157883774334993898e-01
-4.080060020874952897e+00,9.154241497523526450e-01
-4.096116101747611538e+00,9.150599145537643420e-01
-4.112160642485832796e+00,9.146956718733966207e-01
-4.128193653916241601e+00,9.143314217476021799e-01
-4.144215146909118630e+00,9.139671642114438610e-01
-4.160225132247433066e+00,9.136028993016693800e-01
-4.176223620801465586e+00,9.132386270527413918e-01
-4.192210623354185373e+00,9.128743475008097574e-01
-4.208186150688561611e+00,9.125100606817263538e-01
-4.224150213587563485e+00,9.121457666310450740e-01
-4.240102822790504433e+00,9.117814653850174755e-01
-4.256043989080353640e+00,9.114171569786002625e-01
-4.271973723196424544e+00,9.110528414474484693e-01
-4.287892035834374838e+00,9.106885188279186805e-01
-4.303798937733517960e+00,9.103241891550710729e-01
-4.319694439589511603e+00,9.099598524646673736e-01
-4.335578552054357715e+00,9.095955087931738570e-01
-4.351451285823713988e+00,9.092311581757591687e-01
-4.367312651549582370e+00,9.088668006482968353e-01
-4.383162659927620552e+00,9.085024362453604230e-01
-4.399001321522518992e+00,9.081380650042368829e-01
-4.414828646986279637e+00,9.077736869599114522e-01
-4.430644646927248687e+00,9.074093021480769128e-01
-4.446449331953772344e+00,9.070449106041300613e-01
-4.462242712630541064e+00,9.066805123641794584e-01
-4.478024799522245303e+00,9.063161074640381232e-01
-4.493795603193575516e+00,9.059516959392254210e-01
-4.509555134165566415e+00,9.055872778259740352e-01
-4.525303403002908453e+00,9.052228531592136918e-01
-4.541040420226636343e+00,9.048584219745876567e-01
